14/02/17,05:00:00,5,1517,13.284
14/02/17,05:00:00,7,1422,24.200
14/02/17,05:00:00,6,1521,0.000
14/02/17,05:00:00,4,1623,0.000
14/02/17,04:55:00,5,1517,13.288
14/02/17,04:55:00,7,1422,24.200
14/02/17,04:55:00,6,1521,0.000
14/02/17,04:55:00,4,1623,0.000
14/02/17,04:50:00,5,1517,13.284
14/02/17,04:50:00,7,1422,24.700
14/02/17,04:50:00,6,1521,0.000
14/02/17,04:50:00,4,1623,0.000
14/02/17,04:45:00,5,1517,13.288
14/02/17,04:45:00,7,1422,24.500
14/02/17,04:45:00,6,1521,0.000
14/02/17,04:45:00,4,1623,0.000
14/02/17,04:40:00,5,1517,13.288
14/02/17,04:40:00,7,1422,24.500
14/02/17,04:40:00,6,1521,0.000
14/02/17,04:40:00,4,1623,0.000
14/02/17,04:35:00,5,1517,13.288
14/02/17,04:35:00,7,1422,24.500
14/02/17,04:35:00,6,1521,0.000
14/02/17,04:35:00,4,1623,0.000
14/02/17,04:30:00,5,1517,13.288
14/02/17,04:30:00,7,1422,24.700
14/02/17,04:30:00,6,1521,0.000
14/02/17,04:30:00,4,1623,0.000
14/02/17,04:25:00,5,1517,13.288
14/02/17,04:25:00,7,1422,24.700
14/02/17,04:25:00,6,1521,0.000
14/02/17,04:25:00,4,1623,0.000
14/02/17,04:20:00,5,1517,13.284
14/02/17,04:20:00,7,1422,24.500
14/02/17,04:20:00,6,1521,0.000
14/02/17,04:20:00,4,1623,0.000
14/02/17,04:15:01,5,1517,13.296
14/02/17,04:15:00,7,1422,24.700
14/02/17,04:15:00,6,1521,0.000
14/02/17,04:15:00,4,1623,0.000
14/02/17,04:10:00,5,1517,13.288
14/02/17,04:10:00,7,1422,24.500
14/02/17,04:10:00,6,1521,0.000
14/02/17,04:10:00,4,1623,0.000
14/02/17,04:05:00,5,1517,13.288
14/02/17,04:05:00,7,1422,24.500
14/02/17,04:05:00,6,1521,0.000
14/02/17,04:05:00,4,1623,0.000
14/02/17,04:00:00,5,1517,13.284
14/02/17,04:00:00,7,1422,24.700
14/02/17,04:00:00,6,1521,0.000
14/02/17,04:00:00,4,1623,0.000
14/02/17,03:55:00,5,1517,13.288
14/02/17,03:55:00,7,1422,24.700
14/02/17,03:55:00,6,1521,0.000
14/02/17,03:55:00,4,1623,0.000
14/02/17,03:50:00,5,1517,13.288
14/02/17,03:50:00,7,1422,24.500
14/02/17,03:50:00,6,1521,0.000
14/02/17,03:50:00,4,1623,0.000
14/02/17,03:45:00,5,1517,13.288
14/02/17,03:45:00,7,1422,24.500
14/02/17,03:45:00,6,1521,0.000
14/02/17,03:45:00,4,1623,0.000
14/02/17,03:40:00,5,1517,13.288
14/02/17,03:40:00,7,1422,24.500
14/02/17,03:40:00,6,1521,0.000
14/02/17,03:40:00,4,1623,0.000
14/02/17,03:35:00,5,1517,13.288
14/02/17,03:35:00,7,1422,24.500
14/02/17,03:35:00,6,1521,0.000
14/02/17,03:35:00,4,1623,0.000
14/02/17,03:30:00,5,1517,13.284
14/02/17,03:30:00,7,1422,24.500
14/02/17,03:30:00,6,1521,0.000
14/02/17,03:30:00,4,1623,0.000
14/02/17,03:25:00,5,1517,13.288
14/02/17,03:25:00,7,1422,24.500
14/02/17,03:25:00,6,1521,0.000
14/02/17,03:25:00,4,1623,0.000
14/02/17,03:20:00,5,1517,13.288
14/02/17,03:20:00,7,1422,24.700
14/02/17,03:20:00,6,1521,0.000
14/02/17,03:20:00,4,1623,0.000
14/02/17,03:15:00,5,1517,13.284
14/02/17,03:15:00,7,1422,24.700
14/02/17,03:15:00,6,1521,0.000
14/02/17,03:15:00,4,1623,0.000
14/02/17,03:10:00,5,1517,13.288
14/02/17,03:10:00,7,1422,24.700
14/02/17,03:10:00,6,1521,0.000
14/02/17,03:10:00,4,1623,0.000
14/02/17,03:05:00,5,1517,13.284
14/02/17,03:05:00,7,1422,24.700
14/02/17,03:05:00,6,1521,0.000
14/02/17,03:05:00,4,1623,0.000
14/02/17,03:00:00,5,1517,13.284
14/02/17,03:00:00,7,1422,24.500
14/02/17,03:00:00,6,1521,0.000
14/02/17,03:00:00,4,1623,0.000
14/02/17,02:55:00,5,1517,13.288
14/02/17,02:55:00,7,1422,24.500
14/02/17,02:55:00,6,1521,0.000
14/02/17,02:55:00,4,1623,0.000
14/02/17,02:50:00,5,1517,13.284
14/02/17,02:50:00,7,1422,24.700
14/02/17,02:50:00,6,1521,0.000
14/02/17,02:50:00,4,1623,0.000
14/02/17,02:45:01,5,1517,13.296
14/02/17,02:45:00,7,1422,24.500
14/02/17,02:45:00,6,1521,0.000
14/02/17,02:45:00,4,1623,0.000
14/02/17,02:40:00,5,1517,13.288
14/02/17,02:40:00,7,1422,24.700
14/02/17,02:40:00,6,1521,0.000
14/02/17,02:40:00,4,1623,0.000
14/02/17,02:35:00,5,1517,13.292
14/02/17,02:35:00,7,1422,24.700
14/02/17,02:35:00,6,1521,0.000
14/02/17,02:35:00,4,1623,0.000
14/02/17,02:30:00,5,1517,13.284
14/02/17,02:30:00,7,1422,24.700
14/02/17,02:30:00,6,1521,0.000
